,country,year,sex,age,cases
205,AO,1998,m,0-14,240
206,AO,1999,m,0-14,391
207,AO,2000,m,0-14,186
208,AO,2001,m,0-14,230
209,AO,2002,m,0-14,435
210,AO,2003,m,0-14,409
211,AO,2004,m,0-14,554
212,AO,2005,m,0-14,520
213,AO,2006,m,0-14,540
214,AO,2007,m,0-14,484
215,AO,2008,m,0-14,367
216,AR,1980,m,0-14,0
217,AR,1981,m,0-14,0
218,AR,1982,m,0-14,0
219,AR,1983,m,0-14,0
220,AR,1984,m,0-14,0
221,AR,1985,m,0-14,0
222,AR,1986,m,0-14,0
223,AR,1987,m,0-14,0
224,AR,1988,m,0-14,0
225,AR,1989,m,0-14,0
226,AR,1990,m,0-14,0
227,AR,1991,m,0-14,0
228,AR,1992,m,0-14,0
229,AR,1993,m,0-14,0
230,AR,1994,m,0-14,0
231,AR,1995,m,0-14,0
232,AR,1996,m,0-14,113
233,AR,1997,m,0-14,96
234,AR,1998,m,0-14,84
235,AR,1999,m,0-14,90
236,AR,2000,m,0-14,97
237,AR,2001,m,0-14,78
238,AR,2002,m,0-14,70
239,AR,2003,m,0-14,89
240,AR,2004,m,0-14,64
241,AR,2005,m,0-14,64
242,AR,2006,m,0-14,67
243,AR,2007,m,0-14,77
244,AR,2008,m,0-14,69
245,AS,1980,m,0-14,0
246,AS,1981,m,0-14,0
247,AS,1982,m,0-14,0
248,AS,1983,m,0-14,0
249,AS,1984,m,0-14,0
250,AS,1985,m,0-14,0
251,AS,1986,m,0-14,0
252,AS,1987,m,0-14,0
253,AS,1988,m,0-14,0
254,AS,1989,m,0-14,0
255,AS,1990,m,0-14,0
256,AS,1991,m,0-14,0
257,AS,1992,m,0-14,0
258,AS,1993,m,0-14,0
259,AS,1994,m,0-14,0
260,AS,1995,m,0-14,0
261,AS,1996,m,0-14,0
262,AS,1997,m,0-14,1
263,AS,1998,m,0-14,0
264,AS,1999,m,0-14,0
265,AS,2000,m,0-14,0
266,AS,2001,m,0-14,0
267,AS,2002,m,0-14,0
268,AS,2003,m,0-14,0
269,AS,2004,m,0-14,0
270,AS,2005,m,0-14,0
271,AS,2006,m,0-14,0
272,AS,2007,m,0-14,0
273,AS,2008,m,0-14,0
274,AT,1980,m,0-14,0
275,AT,1981,m,0-14,0
276,AT,1982,m,0-14,0
277,AT,1983,m,0-14,0
278,AT,1984,m,0-14,0
279,AT,1985,m,0-14,0
280,AT,1986,m,0-14,0
281,AT,1987,m,0-14,0
282,AT,1988,m,0-14,0
283,AT,1989,m,0-14,0
284,AT,1990,m,0-14,0
285,AT,1991,m,0-14,0
286,AT,1992,m,0-14,0
287,AT,1993,m,0-14,0
288,AT,1994,m,0-14,0
289,AT,1995,m,0-14,4
290,AT,1996,m,0-14,0
291,AT,1997,m,0-14,24
292,AT,1998,m,0-14,0
293,AT,1999,m,0-14,0
294,AT,2000,m,0-14,1
295,AT,2001,m,0-14,1
296,AT,2002,m,0-14,1
297,AT,2003,m,0-14,0
298,AT,2004,m,0-14,1
299,AT,2005,m,0-14,1
300,AT,2006,m,0-14,1
301,AT,2007,m,0-14,1
302,AT,2008,m,0-14,0
303,AU,1980,m,0-14,0
304,AU,1981,m,0-14,0
305,AU,1982,m,0-14,0
306,AU,1983,m,0-14,0
307,AU,1984,m,0-14,0
308,AU,1985,m,0-14,0
309,AU,1986,m,0-14,0
310,AU,1987,m,0-14,0
311,AU,1988,m,0-14,0
312,AU,1989,m,0-14,0
313,AU,1990,m,0-14,0
314,AU,1991,m,0-14,0
315,AU,1992,m,0-14,0
316,AU,1993,m,0-14,0
317,AU,1994,m,0-14,0
318,AU,1995,m,0-14,0
319,AU,1996,m,0-14,0
320,AU,1997,m,0-14,1
321,AU,1998,m,0-14,0
322,AU,1999,m,0-14,0
323,AU,2000,m,0-14,3
324,AU,2001,m,0-14,1
325,AU,2002,m,0-14,1
326,AU,2003,m,0-14,0
327,AU,2004,m,0-14,0
328,AU,2005,m,0-14,0
329,AU,2006,m,0-14,1
330,AU,2007,m,0-14,3
331,AU,2008,m,0-14,2
332,AZ,1980,m,0-14,0
333,AZ,1981,m,0-14,0
334,AZ,1982,m,0-14,0
335,AZ,1983,m,0-14,0
336,AZ,1984,m,0-14,0
337,AZ,1985,m,0-14,0
338,AZ,1986,m,0-14,0
339,AZ,1987,m,0-14,0
340,AZ,1988,m,0-14,0
341,AZ,1989,m,0-14,0
342,AZ,1990,m,0-14,0
343,AZ,1991,m,0-14,0
344,AZ,1992,m,0-14,0
345,AZ,1993,m,0-14,0
346,AZ,1994,m,0-14,0
347,AZ,1995,m,0-14,0
348,AZ,1996,m,0-14,0
349,AZ,1997,m,0-14,0
350,AZ,1998,m,0-14,0
351,AZ,1999,m,0-14,0
352,AZ,2000,m,0-14,0
353,AZ,2001,m,0-14,3
354,AZ,2002,m,0-14,6
355,AZ,2003,m,0-14,3
356,AZ,2004,m,0-14,8
357,AZ,2005,m,0-14,77
358,AZ,2006,m,0-14,6
359,AZ,2007,m,0-14,0
360,AZ,2008,m,0-14,0
361,BA,1980,m,0-14,0
362,BA,1981,m,0-14,0
363,BA,1982,m,0-14,0
364,BA,1983,m,0-14,0
365,BA,1984,m,0-14,0
366,BA,1985,m,0-14,0
367,BA,1986,m,0-14,0
368,BA,1987,m,0-14,0
369,BA,1988,m,0-14,0
370,BA,1989,m,0-14,0
371,BA,1990,m,0-14,0
372,BA,1991,m,0-14,0
373,BA,1992,m,0-14,0
374,BA,1993,m,0-14,0
375,BA,1994,m,0-14,0
376,BA,1995,m,0-14,0
377,BA,1996,m,0-14,5
378,BA,1997,m,0-14,5
379,BA,1998,m,0-14,1
380,BA,1999,m,0-14,2
381,BA,2000,m,0-14,4
382,BA,2001,m,0-14,6
383,BA,2002,m,0-14,1
384,BA,2003,m,0-14,4
385,BA,2004,m,0-14,3
386,BA,2005,m,0-14,1
387,BA,2006,m,0-14,0
388,BA,2007,m,0-14,0
389,BA,2008,m,0-14,0
390,BB,1980,m,0-14,0
391,BB,1981,m,0-14,0
392,BB,1982,m,0-14,0
393,BB,1983,m,0-14,0
394,BB,1984,m,0-14,0
395,BB,1985,m,0-14,0
396,BB,1986,m,0-14,0
397,BB,1987,m,0-14,0
398,BB,1988,m,0-14,0
399,BB,1989,m,0-14,0
400,BB,1990,m,0-14,0
401,BB,1991,m,0-14,0
402,BB,1992,m,0-14,0
403,BB,1995,m,0-14,0
404,BB,1996,m,0-14,0
405,BB,1997,m,0-14,0
406,BB,1998,m,0-14,0
407,BB,1999,m,0-14,0
408,BB,2000,m,0-14,0
409,BB,2001,m,0-14,0
410,BB,2002,m,0-14,0
411,BB,2003,m,0-14,0
412,BB,2004,m,0-14,0
413,BB,2005,m,0-14,0
414,BB,2006,m,0-14,0
415,BB,2007,m,0-14,0
416,BB,2008,m,0-14,0
417,BD,1980,m,0-14,0
418,BD,1981,m,0-14,0
419,BD,1982,m,0-14,0
420,BD,1983,m,0-14,0
421,BD,1984,m,0-14,0
422,BD,1985,m,0-14,0
423,BD,1986,m,0-14,0
424,BD,1987,m,0-14,0
425,BD,1988,m,0-14,0
426,BD,1989,m,0-14,0
427,BD,1990,m,0-14,0
428,BD,1991,m,0-14,0
429,BD,1992,m,0-14,0
430,BD,1993,m,0-14,0
431,BD,1994,m,0-14,0
432,BD,1995,m,0-14,29
433,BD,1996,m,0-14,45
434,BD,1997,m,0-14,201
435,BD,1998,m,0-14,254
436,BD,1999,m,0-14,259
437,BD,2000,m,0-14,256
438,BD,2001,m,0-14,283
439,BD,2002,m,0-14,449
440,BD,2003,m,0-14,320
441,BD,2004,m,0-14,420
442,BD,2005,m,0-14,524
443,BD,2006,m,0-14,607
444,BD,2007,m,0-14,523
445,BD,2008,m,0-14,422
446,BE,1980,m,0-14,0
447,BE,1981,m,0-14,0
448,BE,1982,m,0-14,0
449,BE,1983,m,0-14,0
450,BE,1984,m,0-14,0
451,BE,1985,m,0-14,0
452,BE,1986,m,0-14,0
453,BE,1987,m,0-14,0
454,BE,1988,m,0-14,0
455,BE,1989,m,0-14,0
456,BE,1990,m,0-14,0
457,BE,1991,m,0-14,0
458,BE,1992,m,0-14,0
459,BE,1993,m,0-14,0
460,BE,1994,m,0-14,0
461,BE,1995,m,0-14,3
462,BE,1996,m,0-14,1
463,BE,1997,m,0-14,3
464,BE,1998,m,0-14,3
465,BE,1999,m,0-14,2
466,BE,2000,m,0-14,3
467,BE,2001,m,0-14,8
468,BE,2002,m,0-14,1
469,BE,2003,m,0-14,6
470,BE,2004,m,0-14,1
471,BE,2005,m,0-14,1
472,BE,2006,m,0-14,4
473,BE,2007,m,0-14,2
474,BE,2008,m,0-14,3
475,BF,1980,m,0-14,0
476,BF,1981,m,0-14,0
477,BF,1982,m,0-14,0
478,BF,1983,m,0-14,0
479,BF,1984,m,0-14,0
480,BF,1985,m,0-14,0
481,BF,1986,m,0-14,0
482,BF,1987,m,0-14,0
483,BF,1988,m,0-14,0
484,BF,1989,m,0-14,0
485,BF,1990,m,0-14,0
486,BF,1991,m,0-14,0
487,BF,1993,m,0-14,0
488,BF,1994,m,0-14,0
489,BF,1995,m,0-14,4
490,BF,1996,m,0-14,3
491,BF,1997,m,0-14,3
492,BF,1998,m,0-14,4
493,BF,1999,m,0-14,13
494,BF,2000,m,0-14,12
495,BF,2001,m,0-14,7
496,BF,2002,m,0-14,6
497,BF,2003,m,0-14,14
498,BF,2004,m,0-14,10
499,BF,2005,m,0-14,18
500,BF,2006,m,0-14,13
501,BF,2007,m,0-14,8
502,BF,2008,m,0-14,8
503,BG,1980,m,0-14,0
504,BG,1981,m,0-14,0
505,BG,1982,m,0-14,0
506,BG,1983,m,0-14,0
507,BG,1984,m,0-14,0
508,BG,1985,m,0-14,0
509,BG,1986,m,0-14,0
510,BG,1987,m,0-14,0
511,BG,1988,m,0-14,0
512,BG,1989,m,0-14,0
513,BG,1990,m,0-14,0
514,BG,1991,m,0-14,0
515,BG,1992,m,0-14,0
516,BG,1993,m,0-14,0
517,BG,1994,m,0-14,0
518,BG,1995,m,0-14,0
519,BG,1996,m,0-14,0
520,BG,1997,m,0-14,0
521,BG,1998,m,0-14,0
522,BG,1999,m,0-14,0
523,BG,2000,m,0-14,0
524,BG,2001,m,0-14,1
525,BG,2002,m,0-14,2
526,BG,2003,m,0-14,3
527,BG,2004,m,0-14,10
528,BG,2005,m,0-14,9
529,BG,2006,m,0-14,6
530,BG,2007,m,0-14,7
531,BG,2008,m,0-14,2
532,BH,1980,m,0-14,0
533,BH,1981,m,0-14,0
534,BH,1982,m,0-14,0
535,BH,1983,m,0-14,0
536,BH,1984,m,0-14,0
537,BH,1985,m,0-14,0
538,BH,1986,m,0-14,0
539,BH,1987,m,0-14,0
540,BH,1988,m,0-14,0
541,BH,1989,m,0-14,0
542,BH,1990,m,0-14,0
543,BH,1991,m,0-14,0
544,BH,1992,m,0-14,0
545,BH,1993,m,0-14,0
546,BH,1995,m,0-14,0
547,BH,1996,m,0-14,0
548,BH,1997,m,0-14,1
549,BH,1998,m,0-14,0
550,BH,1999,m,0-14,0
551,BH,2000,m,0-14,0
552,BH,2001,m,0-14,0
553,BH,2002,m,0-14,0
554,BH,2003,m,0-14,0
555,BH,2004,m,0-14,0
556,BH,2005,m,0-14,0
557,BH,2006,m,0-14,0
558,BH,2007,m,0-14,0
559,BH,2008,m,0-14,0
560,BI,1980,m,0-14,0
561,BI,1981,m,0-14,0
562,BI,1982,m,0-14,0
563,BI,1983,m,0-14,0
564,BI,1984,m,0-14,0
565,BI,1985,m,0-14,0
566,BI,1986,m,0-14,0
567,BI,1987,m,0-14,0
568,BI,1988,m,0-14,0
569,BI,1989,m,0-14,0
570,BI,1990,m,0-14,0
571,BI,1991,m,0-14,0
572,BI,1992,m,0-14,0
573,BI,1993,m,0-14,0
574,BI,1994,m,0-14,0
575,BI,1995,m,0-14,5
576,BI,1996,m,0-14,16
577,BI,1997,m,0-14,21
578,BI,1998,m,0-14,45
579,BI,1999,m,0-14,64
580,BI,2000,m,0-14,0
581,BI,2001,m,0-14,34
582,BI,2002,m,0-14,16
583,BI,2003,m,0-14,32
584,BI,2004,m,0-14,24
585,BI,2005,m,0-14,34
586,BI,2006,m,0-14,30
587,BI,2007,m,0-14,26
588,BI,2008,m,0-14,30
589,BJ,1980,m,0-14,0
590,BJ,1981,m,0-14,0
591,BJ,1982,m,0-14,0
592,BJ,1983,m,0-14,0
593,BJ,1984,m,0-14,0
594,BJ,1985,m,0-14,0
595,BJ,1986,m,0-14,0
596,BJ,1987,m,0-14,0
597,BJ,1988,m,0-14,0
598,BJ,1989,m,0-14,0
599,BJ,1990,m,0-14,0
600,BJ,1991,m,0-14,0
601,BJ,1992,m,0-14,0
602,BJ,1993,m,0-14,0
603,BJ,1994,m,0-14,0
604,BJ,1995,m,0-14,14
605,BJ,1996,m,0-14,17
606,BJ,1997,m,0-14,20
607,BJ,1998,m,0-14,20
608,BJ,1999,m,0-14,14
609,BJ,2000,m,0-14,19
610,BJ,2001,m,0-14,0
611,BJ,2002,m,0-14,16
612,BJ,2003,m,0-14,20
613,BJ,2004,m,0-14,16
614,BJ,2005,m,0-14,21
615,BJ,2006,m,0-14,18
616,BJ,2007,m,0-14,0
617,BJ,2008,m,0-14,20
618,BM,1980,m,0-14,0
619,BM,1981,m,0-14,0
620,BM,1982,m,0-14,0
621,BM,1983,m,0-14,0
622,BM,1984,m,0-14,0
623,BM,1985,m,0-14,0
624,BM,1986,m,0-14,0
625,BM,1987,m,0-14,0
626,BM,1988,m,0-14,0
627,BM,1989,m,0-14,0
628,BM,1990,m,0-14,0
629,BM,1991,m,0-14,0
630,BM,1992,m,0-14,0
631,BM,1995,m,0-14,0
632,BM,1996,m,0-14,0
633,BM,1997,m,0-14,0
634,BM,1998,m,0-14,0
635,BM,1999,m,0-14,0
636,BM,2000,m,0-14,0
637,BM,2001,m,0-14,0
638,BM,2002,m,0-14,0
639,BM,2003,m,0-14,0
640,BM,2004,m,0-14,0
641,BM,2005,m,0-14,0
642,BM,2006,m,0-14,0
643,BM,2007,m,0-14,0
644,BM,2008,m,0-14,0
645,BN,1980,m,0-14,0
646,BN,1981,m,0-14,0
647,BN,1982,m,0-14,0
648,BN,1983,m,0-14,0
649,BN,1984,m,0-14,0
650,BN,1985,m,0-14,0
651,BN,1986,m,0-14,0
652,BN,1987,m,0-14,0
653,BN,1988,m,0-14,0
654,BN,1989,m,0-14,0
655,BN,1990,m,0-14,0
656,BN,1992,m,0-14,0
657,BN,1993,m,0-14,0
658,BN,1997,m,0-14,0
659,BN,1998,m,0-14,0
660,BN,1999,m,0-14,0
661,BN,2000,m,0-14,0
662,BN,2001,m,0-14,0
663,BN,2002,m,0-14,2
664,BN,2003,m,0-14,0
665,BN,2004,m,0-14,0
666,BN,2005,m,0-14,0
667,BN,2006,m,0-14,2
668,BN,2007,m,0-14,0
669,BN,2008,m,0-14,0
670,BO,1980,m,0-14,0
671,BO,1981,m,0-14,0
672,BO,1982,m,0-14,0
673,BO,1983,m,0-14,0
674,BO,1984,m,0-14,0
675,BO,1985,m,0-14,0
676,BO,1986,m,0-14,0
677,BO,1987,m,0-14,0
678,BO,1988,m,0-14,0
679,BO,1989,m,0-14,0
680,BO,1990,m,0-14,0
681,BO,1991,m,0-14,0
682,BO,1992,m,0-14,0
683,BO,1993,m,0-14,0
684,BO,1994,m,0-14,0
685,BO,1995,m,0-14,0
686,BO,1996,m,0-14,178
687,BO,1997,m,0-14,150
688,BO,1998,m,0-14,167
689,BO,1999,m,0-14,222
690,BO,2000,m,0-14,166
691,BO,2001,m,0-14,165
692,BO,2002,m,0-14,231
693,BO,2003,m,0-14,156
694,BO,2004,m,0-14,161
695,BO,2005,m,0-14,157
696,BO,2006,m,0-14,127
697,BO,2007,m,0-14,116
698,BO,2008,m,0-14,128
699,BR,1980,m,0-14,0
700,BR,1981,m,0-14,0
701,BR,1982,m,0-14,0
702,BR,1983,m,0-14,0
703,BR,1984,m,0-14,0
704,BR,1985,m,0-14,0
705,BR,1986,m,0-14,0
706,BR,1987,m,0-14,0
707,BR,1988,m,0-14,0
708,BR,1989,m,0-14,0
709,BR,1990,m,0-14,0
710,BR,1991,m,0-14,0
711,BR,1992,m,0-14,0
712,BR,1994,m,0-14,0
713,BR,1995,m,0-14,0
714,BR,1996,m,0-14,0
715,BR,1997,m,0-14,0
716,BR,1998,m,0-14,0
717,BR,1999,m,0-14,301
718,BR,2000,m,0-14,1894
719,BR,2001,m,0-14,468
720,BR,2002,m,0-14,344
721,BR,2003,m,0-14,382
722,BR,2004,m,0-14,337
723,BR,2005,m,0-14,317
724,BR,2006,m,0-14,343
725,BR,2007,m,0-14,371
726,BR,2008,m,0-14,298
727,BS,1980,m,0-14,0
728,BS,1981,m,0-14,0
729,BS,1982,m,0-14,0
730,BS,1983,m,0-14,0
731,BS,1984,m,0-14,0
732,BS,1985,m,0-14,0
733,BS,1986,m,0-14,0
734,BS,1987,m,0-14,0
735,BS,1988,m,0-14,0
736,BS,1989,m,0-14,0
737,BS,1990,m,0-14,0
738,BS,1991,m,0-14,0
739,BS,1992,m,0-14,0
740,BS,1993,m,0-14,0
741,BS,1994,m,0-14,0
742,BS,1995,m,0-14,3
743,BS,1996,m,0-14,0
744,BS,1997,m,0-14,0
745,BS,1998,m,0-14,0
746,BS,1999,m,0-14,1
747,BS,2000,m,0-14,1
748,BS,2001,m,0-14,0
749,BS,2002,m,0-14,2
750,BS,2003,m,0-14,0
751,BS,2004,m,0-14,3
752,BS,2006,m,0-14,0
753,BS,2007,m,0-14,0
754,BS,2008,m,0-14,0
755,BT,1980,m,0-14,0
756,BT,1981,m,0-14,0
757,BT,1982,m,0-14,0
758,BT,1983,m,0-14,0
759,BT,1984,m,0-14,0
760,BT,1985,m,0-14,0
761,BT,1986,m,0-14,0
762,BT,1987,m,0-14,0
763,BT,1988,m,0-14,0
764,BT,1989,m,0-14,0
765,BT,1990,m,0-14,0
766,BT,1991,m,0-14,0
767,BT,1992,m,0-14,0
768,BT,1993,m,0-14,0
769,BT,1994,m,0-14,0
770,BT,1995,m,0-14,2
771,BT,1996,m,0-14,4
772,BT,1997,m,0-14,4
773,BT,1998,m,0-14,3
774,BT,1999,m,0-14,10
775,BT,2000,m,0-14,6
776,BT,2001,m,0-14,3
777,BT,2002,m,0-14,5
778,BT,2003,m,0-14,9
779,BT,2004,m,0-14,1
780,BT,2005,m,0-14,1
781,BT,2006,m,0-14,0
782,BT,2007,m,0-14,2
783,BT,2008,m,0-14,3
784,BW,1980,m,0-14,0
785,BW,1981,m,0-14,0
786,BW,1982,m,0-14,0
787,BW,1983,m,0-14,0
788,BW,1984,m,0-14,0
789,BW,1985,m,0-14,0
790,BW,1986,m,0-14,0
791,BW,1987,m,0-14,0
792,BW,1988,m,0-14,0
793,BW,1989,m,0-14,0
794,BW,1990,m,0-14,0
795,BW,1991,m,0-14,0
796,BW,1992,m,0-14,0
797,BW,1993,m,0-14,0
798,BW,1994,m,0-14,0
799,BW,1995,m,0-14,0
800,BW,1996,m,0-14,0
801,BW,1997,m,0-14,29
802,BW,1998,m,0-14,0
803,BW,1999,m,0-14,18
804,BW,2000,m,0-14,25
805,BW,2001,m,0-14,15
806,BW,2002,m,0-14,17
807,BW,2003,m,0-14,22
808,BW,2004,m,0-14,29
809,BW,2005,m,0-14,27
810,BW,2006,m,0-14,36
811,BW,2007,m,0-14,25
812,BW,2008,m,0-14,27
813,BY,1980,m,0-14,0
814,BY,1981,m,0-14,0
815,BY,1982,m,0-14,0
816,BY,1983,m,0-14,0
817,BY,1984,m,0-14,0
818,BY,1985,m,0-14,0
819,BY,1986,m,0-14,0
820,BY,1987,m,0-14,0
821,BY,1988,m,0-14,0
822,BY,1989,m,0-14,0
823,BY,1990,m,0-14,0
824,BY,1991,m,0-14,0
825,BY,1992,m,0-14,0
826,BY,1993,m,0-14,0
827,BY,1994,m,0-14,0
828,BY,1995,m,0-14,0
829,BY,1996,m,0-14,0
830,BY,1997,m,0-14,0
831,BY,1998,m,0-14,0
832,BY,1999,m,0-14,0
833,BY,2000,m,0-14,0
834,BY,2001,m,0-14,2
835,BY,2002,m,0-14,0
836,BY,2003,m,0-14,0
837,BY,2004,m,0-14,0
838,BY,2005,m,0-14,0
839,BY,2006,m,0-14,0
840,BY,2007,m,0-14,0
841,BY,2008,m,0-14,0
842,BZ,1980,m,0-14,0
843,BZ,1981,m,0-14,0
844,BZ,1982,m,0-14,0
845,BZ,1983,m,0-14,0
846,BZ,1984,m,0-14,0
847,BZ,1985,m,0-14,0
848,BZ,1986,m,0-14,0
849,BZ,1987,m,0-14,0
850,BZ,1988,m,0-14,0
851,BZ,1989,m,0-14,0
852,BZ,1990,m,0-14,0
853,BZ,1991,m,0-14,0
854,BZ,1992,m,0-14,0
855,BZ,1993,m,0-14,0
856,BZ,1994,m,0-14,0
857,BZ,1995,m,0-14,1
858,BZ,1996,m,0-14,1
859,BZ,1997,m,0-14,2
860,BZ,1998,m,0-14,0
861,BZ,1999,m,0-14,0
862,BZ,2000,m,0-14,2
863,BZ,2001,m,0-14,0
864,BZ,2002,m,0-14,4
865,BZ,2003,m,0-14,1
866,BZ,2004,m,0-14,0
867,BZ,2005,m,0-14,0
